stage,measure,age_gap_bin,N,mean,std,median,ci95_low,ci95_high,spearman_rho_all_pairs,spearman_p_value_all_pairs,spearman_ci95_low,spearman_ci95_high,bootstrap
3,mean_absolute_channel_difference,"[0,5)",0,nan,nan,nan,nan,nan,0.01003235403659948,1.205120094930816e-11,0.007086166401859373,0.012799507658928632,"Poisson bootstrap, 1000 replicates"
3,mean_absolute_channel_difference,"[5,10)",264282,0.07197965681552887,0.039173673838377,0.061901986598968506,0.07182994275226316,0.0721298231064633,0.01003235403659948,1.205120094930816e-11,0.007086166401859373,0.012799507658928632,"Poisson bootstrap, 1000 replicates"
3,mean_absolute_channel_difference,"[10,15)",115378,0.06927366554737091,0.03578846901655197,0.06080880016088486,0.06904931371176853,0.06947130447099704,0.01003235403659948,1.205120094930816e-11,0.007086166401859373,0.012799507658928632,"Poisson bootstrap, 1000 replicates"
3,mean_absolute_channel_difference,"[15,20)",52722,0.07218407094478607,0.03499654680490494,0.06463225185871124,0.07187637092018995,0.07247129273224129,0.01003235403659948,1.205120094930816e-11,0.007086166401859373,0.012799507658928632,"Poisson bootstrap, 1000 replicates"
3,mean_absolute_channel_difference,"[20,+inf)",24267,0.07055030018091202,0.03330891951918602,0.06345526874065399,0.07013459892667469,0.07097516451450178,0.01003235403659948,1.205120094930816e-11,0.007086166401859373,0.012799507658928632,"Poisson bootstrap, 1000 replicates"
4,mean_absolute_channel_difference,"[0,5)",0,nan,nan,nan,nan,nan,0.14844071041771723,0.0,0.14580652341246605,0.15121209472417832,"Poisson bootstrap, 1000 replicates"
4,mean_absolute_channel_difference,"[5,10)",264282,0.05507531389594078,0.024280067533254623,0.05057568848133087,0.054997234600977184,0.055167957573728395,0.14844071041771723,0.0,0.14580652341246605,0.15121209472417832,"Poisson bootstrap, 1000 replicates"
4,mean_absolute_channel_difference,"[10,15)",115378,0.06013866886496544,0.027072196826338768,0.054561369121074677,0.05998114486106003,0.06028698995954353,0.14844071041771723,0.0,0.14580652341246605,0.15121209472417832,"Poisson bootstrap, 1000 replicates"
4,mean_absolute_channel_difference,"[15,20)",52722,0.06285213679075241,0.028134465217590332,0.05658558011054993,0.06262606229686087,0.06309362844047217,0.14844071041771723,0.0,0.14580652341246605,0.15121209472417832,"Poisson bootstrap, 1000 replicates"
4,mean_absolute_channel_difference,"[20,+inf)",24267,0.07423840463161469,0.03194332867860794,0.06844684481620789,0.07382563460805013,0.07463329284263236,0.14844071041771723,0.0,0.14580652341246605,0.15121209472417832,"Poisson bootstrap, 1000 replicates"
3,cosine_distance,"[0,5)",0,nan,nan,nan,nan,nan,0.0105937867721254,8.125677088716702e-13,0.00781985423527658,0.013408343284390866,"Poisson bootstrap, 1000 replicates"
3,cosine_distance,"[5,10)",264282,0.02695930190384388,0.030316470190882683,0.015857607126235962,0.026846614981762953,0.027079510296983203,0.0105937867721254,8.125677088716702e-13,0.00781985423527658,0.013408343284390866,"Poisson bootstrap, 1000 replicates"
3,cosine_distance,"[10,15)",115378,0.02430799789726734,0.026302259415388107,0.015309303998947144,0.024158561408407497,0.024459569934379317,0.0105937867721254,8.125677088716702e-13,0.00781985423527658,0.013408343284390866,"Poisson bootstrap, 1000 replicates"
3,cosine_distance,"[15,20)",52722,0.026070501655340195,0.026212647557258606,0.017474830150604248,0.02584186932002793,0.026296134967328612,0.0105937867721254,8.125677088716702e-13,0.00781985423527658,0.013408343284390866,"Poisson bootstrap, 1000 replicates"
3,cosine_distance,"[20,+inf)",24267,0.024506544694304466,0.024592043831944466,0.016489624977111816,0.024196505135821233,0.024808777961667725,0.0105937867721254,8.125677088716702e-13,0.00781985423527658,0.013408343284390866,"Poisson bootstrap, 1000 replicates"
4,cosine_distance,"[0,5)",0,nan,nan,nan,nan,nan,0.13585532710057321,0.0,0.13284437954425812,0.1386250291019678,"Poisson bootstrap, 1000 replicates"
4,cosine_distance,"[5,10)",264282,0.01476545725017786,0.01541620958596468,0.010351032018661499,0.014710413214021742,0.014823049279264519,0.13585532710057321,0.0,0.13284437954425812,0.1386250291019678,"Poisson bootstrap, 1000 replicates"
4,cosine_distance,"[10,15)",115378,0.01718680001795292,0.016364453360438347,0.011971712112426758,0.017090378147501084,0.01728367414511553,0.13585532710057321,0.0,0.13284437954425812,0.1386250291019678,"Poisson bootstrap, 1000 replicates"
4,cosine_distance,"[15,20)",52722,0.018368368968367577,0.016859229654073715,0.012667059898376465,0.01822841538336834,0.01850500420448749,0.13585532710057321,0.0,0.13284437954425812,0.1386250291019678,"Poisson bootstrap, 1000 replicates"
4,cosine_distance,"[20,+inf)",24267,0.025512514635920525,0.023522621020674706,0.018313169479370117,0.025195394859811933,0.02580962279260958,0.13585532710057321,0.0,0.13284437954425812,0.1386250291019678,"Poisson bootstrap, 1000 replicates"
