stage,age_group,age_range,N,mean,std,median,ci95_low,ci95_high
3,0,<21,2371,0.5572085976600647,0.03474082052707672,0.5542258024215698,0.5558048873603619,0.5586000925238389
3,1,21–30,58626,0.5527978539466858,0.03811603784561157,0.5443437695503235,0.5524755559547689,0.5531113018509463
3,2,31–40,47361,0.5716386437416077,0.03856165334582329,0.5782787799835205,0.571286027738607,0.5719943743146252
3,3,41–50,22083,0.5789979100227356,0.037303466349840164,0.5865634083747864,0.5785075564856074,0.5795270425183827
3,4,51–60,16416,0.5870298743247986,0.034444574266672134,0.593559205532074,0.5865008529805321,0.5875661660630652
3,5,61–70,4972,0.5941718220710754,0.026790358126163483,0.5969423651695251,0.5934573084113886,0.5949068142818211
3,6,≥71,148,0.5894526839256287,0.016948465257883072,0.5890069007873535,0.5867018400351057,0.5921327143292794
4,0,<21,2371,0.6076344847679138,0.017709994688630104,0.6055442094802856,0.6069523152086623,0.6082758340477842
4,1,21–30,58626,0.6110552549362183,0.023709788918495178,0.6068235635757446,0.6108717699368401,0.611243332948726
4,2,31–40,47361,0.6191967129707336,0.023377612233161926,0.6157013177871704,0.6189805467408821,0.6194022392630177
4,3,41–50,22083,0.6318036913871765,0.024214498698711395,0.6288163065910339,0.6314815620470305,0.6321314979459153
4,4,51–60,16416,0.6484352946281433,0.026915965601801872,0.647424578666687,0.6480178829606086,0.6488510281054428
4,5,61–70,4972,0.6640996336936951,0.023142877966165543,0.6659665107727051,0.6634575436653171,0.6647329339769056
4,6,≥71,148,0.670619547367096,0.019585683941841125,0.6702967882156372,0.667641096001994,0.6737068648114951
