stage,age_gap_bin,N,pair_suppression_mean,pair_suppression_mean_std,pair_suppression_difference_mean,pair_suppression_difference_std,rho_age_gap_pair_mean,p_age_gap_pair_mean,rho_age_gap_pair_mean_ci95_low,rho_age_gap_pair_mean_ci95_high,rho_age_gap_pair_difference,p_age_gap_pair_difference,rho_age_gap_pair_difference_ci95_low,rho_age_gap_pair_difference_ci95_high,bootstrap
3,"[0,5)",0,nan,nan,nan,nan,0.11340194398560442,0.0,0.11053835619241,0.11617594920098781,-0.004355439752019939,0.003248074683835573,-0.0072867138660512865,-0.0014019856200320657,"Poisson bootstrap, 1000 replicates"
3,"[5,10)",264282,0.5715089440345764,0.037330079823732376,0.020097477361559868,0.01612614467740059,0.11340194398560442,0.0,0.11053835619241,0.11617594920098781,-0.004355439752019939,0.003248074683835573,-0.0072867138660512865,-0.0014019856200320657,"Poisson bootstrap, 1000 replicates"
3,"[10,15)",115378,0.5776495337486267,0.03581452742218971,0.019468560814857483,0.015727197751402855,0.11340194398560442,0.0,0.11053835619241,0.11617594920098781,-0.004355439752019939,0.003248074683835573,-0.0072867138660512865,-0.0014019856200320657,"Poisson bootstrap, 1000 replicates"
3,"[15,20)",52722,0.5793874263763428,0.035797733813524246,0.020022829994559288,0.016201093792915344,0.11340194398560442,0.0,0.11053835619241,0.11617594920098781,-0.004355439752019939,0.003248074683835573,-0.0072867138660512865,-0.0014019856200320657,"Poisson bootstrap, 1000 replicates"
3,"[20,+inf)",24267,0.5845736265182495,0.03350551426410675,0.020562000572681427,0.016354771330952644,0.11340194398560442,0.0,0.11053835619241,0.11617594920098781,-0.004355439752019939,0.003248074683835573,-0.0072867138660512865,-0.0014019856200320657,"Poisson bootstrap, 1000 replicates"
4,"[0,5)",0,nan,nan,nan,nan,0.325967719317519,0.0,0.32318618074059485,0.32857548370957373,0.13982737052123076,0.0,0.1370035383850336,0.14250378422439097,"Poisson bootstrap, 1000 replicates"
4,"[5,10)",264282,0.6245690584182739,0.025220872834324837,0.01761344075202942,0.015855170786380768,0.325967719317519,0.0,0.32318618074059485,0.32857548370957373,0.13982737052123076,0.0,0.1370035383850336,0.14250378422439097,"Poisson bootstrap, 1000 replicates"
4,"[10,15)",115378,0.6347265243530273,0.02518020197749138,0.02148105762898922,0.01899597980082035,0.325967719317519,0.0,0.32318618074059485,0.32857548370957373,0.13982737052123076,0.0,0.1370035383850336,0.14250378422439097,"Poisson bootstrap, 1000 replicates"
4,"[15,20)",52722,0.643225908279419,0.025005599483847618,0.023745965212583542,0.020076759159564972,0.325967719317519,0.0,0.32318618074059485,0.32857548370957373,0.13982737052123076,0.0,0.1370035383850336,0.14250378422439097,"Poisson bootstrap, 1000 replicates"
4,"[20,+inf)",24267,0.6483944654464722,0.02469170279800892,0.026838848367333412,0.022874323651194572,0.325967719317519,0.0,0.32318618074059485,0.32857548370957373,0.13982737052123076,0.0,0.1370035383850336,0.14250378422439097,"Poisson bootstrap, 1000 replicates"
